,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Taxi Drives
36,New York City,2015-04-06,16.4,5.6,10.5,16.4,3.3,10.2,2.3,58.1,0.0,0,0.0,,0.0,0.0,35.3,15.6,75.4,1023.8,22.7,15.9,237.9,20.5,8,,2015-04-06T06:31:48,2015-04-06T19:25:50,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7358229463338907
37,New York City,2015-04-07,16.3,6.3,11.4,16.3,3.0,10.3,5.2,67.4,3.58,100,25.0,rain,0.0,0.0,36.6,21.7,93.3,1022.8,94.0,14.0,131.1,11.3,5,,2015-04-07T06:30:12,2015-04-07T19:26:52,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8341209746497756
38,New York City,2015-04-08,7.0,3.2,5.7,4.0,-1.4,2.1,0.3,69.4,0.54,100,12.5,rain,0.0,0.0,44.2,26.3,64.5,1026.4,100.0,15.0,62.0,5.4,2,,2015-04-08T06:28:35,2015-04-08T19:27:55,0.57,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8685955548412009
39,New York City,2015-04-09,6.0,2.9,4.1,3.5,-1.6,0.5,1.5,83.0,0.0,0,0.0,,0.0,0.0,37.1,22.4,66.3,1025.3,100.0,13.0,61.1,5.4,2,,2015-04-09T06:27:00,2015-04-09T19:28:58,0.62,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9019528669686557
40,New York City,2015-04-10,13.5,4.2,8.0,13.5,1.6,7.1,6.2,88.3,4.61,100,25.0,rain,0.0,0.0,33.5,18.6,148.9,1014.0,95.9,8.3,169.3,14.5,6,,2015-04-10T06:25:25,2015-04-10T19:30:01,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.916796851264179
41,New York City,2015-04-11,13.7,8.1,12.0,13.7,5.5,11.7,0.1,45.3,0.0,0,0.0,,0.0,0.0,55.9,40.8,293.8,1014.9,25.3,15.9,294.1,25.4,9,,2015-04-11T06:23:50,2015-04-11T19:31:04,0.72,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9282419885019395
42,New York City,2015-04-12,18.9,6.2,11.2,18.9,4.7,10.5,-2.0,42.0,0.0,0,0.0,,0.0,0.0,35.3,16.0,212.9,1025.4,6.0,16.0,300.6,26.1,9,,2015-04-12T06:22:16,2015-04-12T19:32:06,0.77,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7981645441840317
43,New York City,2015-04-13,19.7,9.8,14.7,19.7,9.8,14.7,2.8,45.3,0.0,0,0.0,,0.0,0.0,42.4,22.0,199.9,1025.1,28.0,16.0,217.9,18.7,9,,2015-04-13T06:20:43,2015-04-13T19:33:09,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7386729599567206
44,New York City,2015-04-14,18.1,13.1,15.7,18.1,13.1,15.7,5.0,52.3,0.18,100,4.17,rain,0.0,0.0,37.1,13.6,189.5,1020.1,69.1,16.0,119.0,10.3,5,,2015-04-14T06:19:10,2015-04-14T19:34:12,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8067910297095299
45,New York City,2015-04-15,21.4,11.0,16.2,21.4,11.0,16.2,-5.8,23.8,0.0,0,0.0,,0.0,0.0,48.8,28.1,257.4,1022.0,29.7,16.0,225.7,19.6,7,,2015-04-15T06:17:38,2015-04-15T19:35:15,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8367259733462963
46,New York City,2015-04-16,16.3,10.3,13.5,16.3,10.3,13.5,-3.9,32.1,0.0,0,0.0,,0.0,0.0,31.7,17.6,101.0,1029.3,33.2,16.0,238.8,20.5,9,,2015-04-16T06:16:07,2015-04-16T19:36:18,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8855760692941413
47,New York City,2015-04-17,21.4,12.7,16.6,21.4,12.7,16.6,10.2,66.9,1.69,100,12.5,rain,0.0,0.0,37.7,21.2,248.8,1017.3,81.7,15.5,184.2,15.8,7,,2015-04-17T06:14:36,2015-04-17T19:37:21,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.919258761243735
48,New York City,2015-04-18,25.6,14.3,20.0,25.6,14.3,20.0,4.9,40.1,0.0,0,0.0,,0.0,0.0,57.2,21.1,266.4,1014.0,24.3,16.0,298.2,25.9,9,,2015-04-18T06:13:06,2015-04-18T19:38:24,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9814670709739637
49,New York City,2015-04-19,17.9,8.8,13.0,17.9,6.4,12.7,-1.5,37.8,0.0,0,0.0,,0.0,0.0,38.9,22.3,91.5,1022.3,30.3,16.0,265.5,22.9,9,,2015-04-19T06:11:37,2015-04-19T19:39:26,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8735311355167756
50,New York City,2015-04-20,13.7,8.5,10.9,13.7,5.5,10.0,9.0,88.5,26.54,100,41.67,rain,0.0,0.0,48.7,25.2,86.8,1009.8,90.3,7.0,161.2,13.9,7,,2015-04-20T06:10:08,2015-04-20T19:40:29,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7781478047642663
51,New York City,2015-04-21,18.3,11.1,14.5,18.3,11.1,14.5,4.8,60.9,6.43,100,37.5,rain,0.0,0.0,50.0,32.7,250.9,1003.8,55.0,12.3,292.9,25.3,9,,2015-04-21T06:08:41,2015-04-21T19:41:32,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8346913693982237
52,New York City,2015-04-22,20.3,10.9,14.0,20.3,10.9,14.0,2.4,46.8,1.73,100,20.83,rain,0.0,0.0,52.5,31.1,204.8,1005.4,49.0,15.4,241.7,21.0,8,,2015-04-22T06:07:14,2015-04-22T19:42:35,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8471871306399986
53,New York City,2015-04-23,10.0,5.5,7.6,10.0,2.2,4.6,-3.8,45.3,0.0,0,0.0,,0.0,0.0,48.2,28.6,286.2,1007.0,52.2,16.0,237.8,20.6,7,,2015-04-23T06:05:48,2015-04-23T19:43:38,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.907964553200581
54,New York City,2015-04-24,10.7,3.9,6.3,10.7,-1.2,3.1,-7.3,37.5,0.0,0,0.0,,0.0,0.0,53.7,30.0,320.0,1011.3,63.8,16.0,263.8,22.7,7,,2015-04-24T06:04:24,2015-04-24T19:44:41,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9287457391904315
55,New York City,2015-04-25,15.6,3.4,9.0,15.6,-0.4,7.4,-4.9,38.9,0.0,0,0.0,,0.0,0.0,37.1,25.2,245.2,1009.8,18.9,16.0,308.1,26.6,9,,2015-04-25T06:03:00,2015-04-25T19:45:44,0.23,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9590472251569565
56,New York City,2015-04-26,16.3,7.8,12.2,16.3,5.6,11.6,-2.4,37.0,0.0,0,0.0,,0.0,0.0,38.9,26.5,153.7,1005.0,49.1,16.0,305.4,26.3,9,,2015-04-26T06:01:37,2015-04-26T19:46:46,0.27,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8319138801935814
57,New York City,2015-04-27,15.8,9.3,12.4,15.8,7.6,12.1,-0.7,41.0,0.0,0,0.0,,0.0,0.0,46.6,29.8,313.6,1004.8,83.5,16.0,264.3,22.7,8,,2015-04-27T06:00:15,2015-04-27T19:47:49,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7708287188855545
58,New York City,2015-04-28,21.0,10.2,15.5,21.0,10.2,15.5,1.6,41.2,0.0,0,0.0,,0.0,0.0,44.6,25.2,200.9,1007.2,40.0,16.0,312.7,27.2,9,,2015-04-28T05:58:54,2015-04-28T19:48:52,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8065479749026311
59,New York City,2015-04-29,24.8,11.3,17.5,24.8,11.3,17.5,3.4,41.9,0.0,0,0.0,,0.0,0.0,44.1,20.0,260.9,1005.5,21.0,16.0,313.1,27.2,9,,2015-04-29T05:57:35,2015-04-29T19:49:54,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8374963002746127
60,New York City,2015-04-30,17.8,8.7,12.7,17.8,6.1,12.0,3.9,56.9,0.0,0,0.0,,0.0,0.0,35.3,21.2,80.0,1008.9,48.4,16.0,252.2,21.7,8,,2015-04-30T05:56:16,2015-04-30T19:50:57,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8739623617870801
61,New York City,2015-05-01,15.6,9.3,11.6,15.6,7.6,11.2,4.1,60.5,0.0,0,0.0,,0.0,0.0,29.5,14.7,102.9,1014.3,85.1,16.0,155.1,13.3,4,,2015-05-01T05:54:59,2015-05-01T19:51:59,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9042285656042166
62,New York City,2015-05-02,21.0,9.1,12.8,21.0,8.8,12.7,4.4,58.4,0.0,0,0.0,,0.0,0.0,35.9,19.3,111.7,1015.2,35.0,16.0,290.9,25.1,9,,2015-05-02T05:53:42,2015-05-02T19:53:01,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.9945214662477239
63,New York City,2015-05-03,25.1,10.4,17.1,25.1,10.4,17.1,3.3,41.8,0.0,0,0.0,,0.0,0.0,33.1,21.6,193.4,1018.3,24.7,16.0,311.0,26.7,9,,2015-05-03T05:52:27,2015-05-03T19:54:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8520070642703553
64,New York City,2015-05-04,28.5,13.7,21.5,27.3,13.7,21.1,6.9,42.6,0.0,0,0.0,,0.0,0.0,47.1,22.4,143.9,1021.4,11.7,15.4,316.3,27.5,9,,2015-05-04T05:51:14,2015-05-04T19:55:05,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.7649620814900043
65,New York City,2015-05-05,28.2,18.6,22.9,27.6,18.6,22.8,10.1,44.7,0.0,0,0.0,,0.0,0.0,38.9,20.6,191.3,1021.5,44.8,16.0,197.4,17.1,7,,2015-05-05T05:50:01,2015-05-05T19:56:07,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732",0.8476575592985125
